titulo;empresa;localizacion;jornada;contrato;salario
 Abogado/a de cobranza; Abogados Corporativos & Cobranzas AB-ZAS S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedores por Call Center; Access Call; Quito, Pichincha; Por Horas; Contrato por tiempo indefinido; 394,00 US$ 
 Ingeniero Junior; ACEMEPRO; Mejía, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 pasante de Gestión Humana; Acesco Ecuador S.A.; Guayaquil, Guayas; Beca/Prácticas; Contrato por tiempo determinado; A convenir
 Instrumentadora Quirurgica; Acofor Ecuador; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Instrumentadora Quirurgica; Acofor Ecuador; Loja, Loja; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Director de proyecto; Acosta & Asociados; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 1.800,00 US$ 
 Compras Públicas; Acosta & Asociados; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de ventas; Acosta & Asociados; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ingeniero en sistemas; Acosta & Asociados; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 800,00 US$ 
 Contador general; Acrimecsa; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Tecnico en UPS; ACSEREL S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Gerente de local; ACTIVE FUN DIVERSION S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar CCTV; ACTIVE FUN DIVERSION S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administrador de Local; ACTIVE FUN DIVERSION S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
 Administrador de Local; ACTIVE FUN DIVERSION S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
 Jefe de Ventas para el área turística; Admirhserv Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.200,00 US$ 
 Señoras Vendedoras de Seguros de Vida; Admunifondos S.A.; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; A convenir
 Asesor Comercial Pyme; ADVISORSCOM S.A.; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Vendedor; ADVISORSCOM S.A.; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 450,00 US$ 
 vendedora de estacion tababela; Aeroservicios del Ecuador; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Diseñador de páginas web; Agencia de Marketing Online; Guayaquil, Guayas; Medio Tiempo; Contrato de obra o labor; A convenir
 Social media manager; Agencia de Marketing Online; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo determinado; A convenir
 Ejecutiva de Cuentas Corporativas; Agencia Publitek; Manta, Manabí; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Diseñador Gráfico; Agencia Publitek; Manta, Manabí; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Analista Químico; Agrarprojekt; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Representante de Ventas; AGRITOP S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 20.000,00 US$ 
 Asistente contabilIdad; Agroavicola Cia. Ltda; Quito, Pichincha; Por Horas; Contrato por tiempo determinado; A convenir
 Ingeniero agrónomo; AGRODESA; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Sub Gerente Comercial; AGRORENSE CIA LTDA; Milagro, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Mensajero/a motorizado/a; Agrosoft S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Desarrollador Web; Agrosoft S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Mesera para Restaurante; Agrosoft S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Secretaría asistente; Agrosoft S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Analista de costos; AGROVANIC S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
 Asistente Administrativo; AGROVANIC S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Encuestador/a; AGROVANIC S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Encuestador/a; AGROVANIC S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Operador de Maquina; AGROVANIC S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Operador de Maquina; AGROVANIC S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Diseñador de Marca; Agudo Peralta Juan Carlos; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 550,00 US$ 
 Cajero/a polifuncional de minimarket; Agudo Peralta Juan Carlos; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Ayudante de bodega; Agudo Peralta Juan Carlos; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Cajero/a de minimarket; Agudo Peralta Juan Carlos; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Auxiliar contable; Agudo Peralta Juan Carlos; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Despachador de combustible; Agudo Peralta Juan Carlos; Naranjal, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Pasante de Maketing; AINSA S.A; Guayaquil, Guayas; Beca/Prácticas; Contrato de Aprendizaje; A convenir
 Técnico de taller; AINSA S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asesor Comercial Postventa; AINSA S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asesor Comercial Postventa; AINSA S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 449,00 US$ 
 Asistente administrativo de taller; AINSA S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Chofer; Aldea Canina Ecuador; Quito, Pichincha; Por Horas; Contrato por tiempo determinado; 400,00 US$ 
 Auxiliar de enfermería; ALERGOQUITO; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Digital Media Planner; Alfa Digital S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Supervisor de calidad; ALGLASS ECUADOR; Rumiñahui, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Analista y desarrollador de software; ALGORITMUN; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Diseño de empaques; ALITECNO S.A.; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Diseñador Gráfico; ALITECNO S.A.; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Jefe de Ventas; ALMACENES ADRIANITA; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador ecommerce; ALMACENES BANDA JUNIOR C LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 950,00 US$ 
 auxiliar para ecommerce; ALMACENES BANDA JUNIOR C LTDA; Quito, Pichincha; Beca/Prácticas; Contrato de Aprendizaje; A convenir
 Ventas; Almacenes Boyaca; Loja, Loja; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Ventas; Almacenes Boyaca; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Vendedores de Campo; Almacenes La Ganga RCA. SA.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
 Jefe de Alamacen Electrodomésticos; Almacenes La Ganga RCA. SA.; Riobamba, Chimborazo; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Analista de Category; Almacenes Montero; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Técnico en reparaciones; Almacenes Montero; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Trabajadora Social; Almacenes Montero; Quito, Pichincha; Medio Tiempo; Contrato por tiempo determinado; A convenir
 Analista de categoría con experiencia en retail; Almacenes Montero; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Técnico eléctrico; AlóMaestro; Quito, Pichincha; Por Horas; Contrato de obra o labor; 500,00 US$ 
 Técnico especialista en Plomería; AlóMaestro; Quito, Pichincha; Por Horas; Contrato de obra o labor; 500,00 US$ 
 Programador Back End; ALQUIMIASOFT S.A.; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 900,00 US$ 
 Asesor Comercial; ALQUIMIASOFT S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Asistente cobranza; ALSODI S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Asistente contabilIdad; ALSODI S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
 Prevendedor/a; ALSODI S.A; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 900,00 US$ 
 Bodeguero; ALTA TENSION ALTATEN S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinadora de Talento Humano; Alto Desempenio Cia. Ltda.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor comisionista; ALTOS ESTUDIOS CIA LTDA; Quito, Pichincha; Desde Casa; Otro tipo de contrato; A convenir
 Analista de sistema y Soporte a usuario; Altura S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Atención a clientes; Andante; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Arquitecto de Soluciones; Andeantrade S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutivo Comercial Junior en Turismo; Andes Expeditions; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Asistente Administrativo Contable; ANDES METAL; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ingeniero Financiero o Contador/Administrador; Andesoft International; Quito, Pichincha; Tiempo Completo; Contrato de obra o labor; A convenir
 Gerencia; ANDIPETROL; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Asistente administración; Andrea Albuja; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Asesor de ventas; Andrea Samanta Zambrano Bravo; Guayaquil, Guayas; Medio Tiempo; Otro tipo de contrato; A convenir
 Animadores para Eventos Infantiles; Animaciones Chikimoments; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; A convenir
 Vendedor almacenista; APC Tecnologia Cia Ltda; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Vendedores minoristas; Aqua Premium; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador de logística de ventas; Aqua Premium; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar contable; AREZZO; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 403,00 US$ 
 Vendedora; Aromas y Recuerdos S.A.; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 409,00 US$ 
 Administradora de local; Aromas y Recuerdos S.A.; Ambato, Tungurahua; Medio Tiempo; Contrato por tiempo indefinido; 420,00 US$ 
 Administradora de local; Aromas y Recuerdos S.A.; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 420,00 US$ 
 Administradora de local; Aromas y Recuerdos S.A.; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Asesor tecnico y comercial para panel de aluminio compuesto; Artglass S.A; Santo Domingo, Santo Domingo de los Tsáchilas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente contabilIdad; Artglass S.A; Santo Domingo, Santo Domingo de los Tsáchilas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vigilante de Seguridad Privada; ARVISEG seguridad; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 580,00 US$ 
 Administrador/a; ASCENSORES MC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Pasante administrativo/a diseño grafico; Asersa S.A. Agencia Asesora Productora de Seguros; Guayaquil, Guayas; Por Horas; Contrato de Aprendizaje; A convenir
 Asistente contabilIdad; ASESORARTE; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; 394,00 US$ 
 Coordinador de Información Comercial; Asesoría en Reclutamiento & Selección; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 1.400,00 US$ 
 Asesora Comercial; Asesoria Reclutamiento RRHH Verónica Soriano; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Chofer vendedor; ASI Empleo; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 asesor comercial; ASISPROVENT CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Médico/a; Asistensalud S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 1.700,00 US$ 
 Consultor SharePoint 2013; Asitecno Cía. Ltda.; Guayaquil, Guayas; Desde Casa; Contrato de obra o labor; A convenir
 Responsable de laboratorio; ASOCIACION HOLSTEIN DEL ECUADOR; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 800,00 US$ 
 Asistente Administrativa Contable; Assel Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato de Aprendizaje; 400,00 US$ 
 Ingeniera en Electronica; Assel Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato de Aprendizaje; 450,00 US$ 
 Ingeniero hIdráulico; Assel Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato de obra o labor; 1.000,00 US$ 
 Asesor comisionista; Aterrizar.com; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Transcription and voice recording personnel; Atexto; Quito, Pichincha; Desde Casa; Contrato por tiempo indefinido; 394,00 US$ 
 Personal para transcripción de audio y grabación de voz; Atexto; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Técnico Instalador; Audioauto S.A. Tracklink; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 401,00 US$ 
 Asesor de Renovaciones; Audioauto S.A. Tracklink; Ibarra, Imbabura; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Técnico Instalador; Audioauto S.A. Tracklink; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 401,00 US$ 
 Operador Centro de Monitoreo; Audioauto S.A. Tracklink; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 408,00 US$ 
 Asistente de control de inventarios; Audit System Auditores; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Contadores; Audit System Auditores; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo determinado; 800,00 US$ 
 Auditor interno; Audit System Auditores; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 400,00 US$ 
 Asistente de Auditoria; Auditool Consultores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; 400,00 US$ 
 Asistente de Cartera; AUTOMOVILES REPUESTOS Y PARTES ARP S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente Contable Administrativa; AUTOMOVILES REPUESTOS Y PARTES ARP S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Supervisor de Ventas; AUTOVALCA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial; AUTOVALCA; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Analista de ingeniería industrial; Av Proyectos; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Experto en Seguros; Avaluac; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Cajera Atención al Cliente; Aventura Park Playkidsa S.A; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo determinado; 394,00 US$ 
 Cajera; Aventura Park Playkidsa S.A; Milagro, Guayas; Medio Tiempo; Contrato por tiempo determinado; 394,00 US$ 
 Asesor comercial; Aviauto S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administración y ventas; AWAPP SHS CORPORATION CIA.LTDA.; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Asistente de gerencia; AWAPP SHS CORPORATION CIA.LTDA.; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Agente ventas emarketing; Awt S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 650,00 US$ 
 Manicurista; AZ PELUQUERIA; Pastaza, Pastaza; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Representante de ventas; Bactofarma Cia Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Angular SSR/SR; BairesDev SA; Quito, Pichincha; Desde Casa; Otro tipo de contrato; A convenir
 Programa de Top Managers; BairesDev SA; Quito, Pichincha; Desde Casa; Otro tipo de contrato; A convenir
 IT Recruiter; BairesDev SA; Quito, Pichincha; Desde Casa; Otro tipo de contrato; A convenir
 Accountant (US Taxes); BairesDev SA; Quito, Pichincha; Desde Casa; Otro tipo de contrato; A convenir
 Marketing; BairesDev SA; Quito, Pichincha; Desde Casa; Otro tipo de contrato; A convenir
 Programa Ejecutivo Jovenes Profesionales; BairesDev SA; Quito, Pichincha; Desde Casa; Otro tipo de contrato; A convenir
 Ejecutivo de Ventas; BALANCEADOS DEL PACIFICO S A BALANPAC; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Ejecutivos Comerciales; BALANCEADOS DEL PACIFICO S A BALANPAC; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Ejecutivo de Ventas; BALANCEADOS DEL PACIFICO S A BALANPAC; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 20.000,00 US$ 
 Ejecutivo de ventas; BALANCEADOS DEL PACIFICO S A BALANPAC; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Psicólogo Educativo Titulado; Ballet Ecuatoriano de Cámara; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 400,00 US$ 
 Tornero Fresador; BALZO S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Cocinero; Bandidos del Paramo; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Pasante Tecnologia alimentos (Hombre); Bandidos del Paramo; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente RRHH; Bealfi; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Experto/a en Coloración Capilar; BEAUTYDERM IMPORTADORA DE COSMÉTICOS; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; A convenir
 Ejecutivo de Venta; BEAUTYDERM IMPORTADORA DE COSMÉTICOS; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutivo de Venta; BEAUTYDERM IMPORTADORA DE COSMÉTICOS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor comercial industrial; Beehunting; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Asesor comercial industrial; Beehunting; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Psicólogo psicoterapeuta; Belizabeth Montilla Caceres; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Jefe de ventas, asesor comercial educacion; Bestseller Ecuador S.A.; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 IT support specialist service desk agent; BG SUPPORT SCC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Diseñador creativo; BiaRazzyt; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente/a recepcionista; Biodial S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 394,00 US$ 
 Ginecólogo/a; BIOTEST; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Asistente Contable; Bitrodiagnostico Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administrador ISO Y SSO; Bitrodiagnostico Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Se busca Mercaderista/Impulsadora; Blenastor C.A; Manta, Manabí; Tiempo Completo; Contrato por tiempo indefinido; 670,00 US$ 
 Se busca Mercaderista/Impulsadora; Blenastor C.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; 600,00 US$ 
 Se busca Coordinador de Marketing; Blenastor C.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Asistente de Marketing; Blenastor C.A; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 450,00 US$ 
 Ejecutivos de Venta; BLESSUN.CIA.LTDA; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; A convenir
 Ayudante de Bodega C.Comercial Portal; BOGAMOD S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor ventas; Bombastic S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Meseras con experiencia; Bom-K-fé Restaurante; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Meseras mujeres ecuatorianas para restaurante; Bom-K-fé Restaurante; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Panadero pastelero medio tiempo; Bom-K-fé Restaurante; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Supervisor; BOSQUEZLIFE CIA LTDA; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Vendedor; BOSQUEZLIFE CIA LTDA; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Analista De Bussiness Inteligence; Bottago S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 corte y confecicon de ropa de dama; Boutique MZ; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Costurero/a; Boutique MZ; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 costureras con experiencia maquinas industrial; Boutique MZ; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Gestor de cobranza domiciliaria; BPACOMPANY; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; A convenir
 Gestores de cobranza telefónico / Call Center; BPACOMPANY; Rumiñahui, Pichincha; Medio Tiempo; Otro tipo de contrato; A convenir
 Auxiliar contable; Brands Collection; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Vendedora; Brands Collection; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Asesores Comerciales;" BUFETE JURÍDICO ""JUSTICIA PARA TODOS"""; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
